term,coef,std_err,pval
Intercept,0.000555690539116398,0.0022880049765751365,0.8081051683235494
C(tic)[T.COALINDIA.NS],-0.0007916662866095507,8.507148739828849e-18,0.0
C(tic)[T.IOC.NS],-0.000775016638430361,8.524384839423995e-18,0.0
C(tic)[T.MRPL.NS],0.0015060466988818422,0.0006799930057900657,0.026773978050011697
C(tic)[T.NTPC.NS],0.001861740823092988,0.0010457107147526512,0.07501717383911628
C(tic)[T.ONGC.NS],-0.0013396403698445751,1.0445247858553816e-17,0.0
C(tic)[T.PETRONET.NS],-0.0004187821720339378,0.0006799930057900784,0.537985293176378
C(tic)[T.POWERGRID.NS],0.0023795108360214682,0.001045710714752651,0.02287617589066057
C(tic)[T.RELIANCE.NS],0.0014917146113222269,1.1658824269990433e-17,0.0
C(dt)[T.Timestamp('2021-03-17 00:00:00')],-0.015749104822942908,0.004905229289521652,0.0013242287941104742
C(dt)[T.Timestamp('2021-03-18 00:00:00')],-0.001950750586849762,0.005702328160248742,0.7322777327109524
C(dt)[T.Timestamp('2021-03-19 00:00:00')],0.008602194137327216,0.007848365120708313,0.2730572537749836
C(dt)[T.Timestamp('2021-03-22 00:00:00')],0.0005474256445279985,0.008955117245886325,0.9512557371015901
C(dt)[T.Timestamp('2021-03-23 00:00:00')],-0.012396237261330174,0.00522877600017906,0.017750963401257484
C(dt)[T.Timestamp('2021-03-24 00:00:00')],0.0007031014336733271,0.004136561770435351,0.8650318230354732
C(dt)[T.Timestamp('2021-03-25 00:00:00')],-0.012018544263269784,0.002421953332199892,6.965065863702442e-07
C(dt)[T.Timestamp('2021-03-26 00:00:00')],-0.0072415635464239785,0.0036966953887720947,0.050121110327596446
C(dt)[T.Timestamp('2021-03-29 00:00:00')],-0.0004714429720302939,0.000688568482699304,0.49355146078180323
C(dt)[T.Timestamp('2021-03-30 00:00:00')],-0.0014206043434946023,0.003909918664642155,0.7163557884896361
C(dt)[T.Timestamp('2021-03-31 00:00:00')],-0.003368805350641593,0.0035446338084239503,0.3419111390795285
C(dt)[T.Timestamp('2021-04-12 00:00:00')],-0.01636780520656895,0.0063349508939783096,0.009773816159612866
C(dt)[T.Timestamp('2021-04-13 00:00:00')],0.007592308668096449,0.004759374248083366,0.11066024478110892
C(dt)[T.Timestamp('2021-04-14 00:00:00')],-0.000471442972030304,0.0006885684826993048,0.49355146078179435
C(dt)[T.Timestamp('2021-04-15 00:00:00')],0.0003087764257875549,0.00491430381865609,0.9499001399562944
C(dt)[T.Timestamp('2021-04-16 00:00:00')],0.005993723852917585,0.004705694481182353,0.20276366949570224
C(dt)[T.Timestamp('2021-04-19 00:00:00')],-0.015376982351762686,0.005550762114717927,0.0056013789579341805
C(dt)[T.Timestamp('2021-04-20 00:00:00')],0.010161540986411227,0.004213800628884458,0.015887457460604527
C(dt)[T.Timestamp('2021-04-21 00:00:00')],-0.00047144297203029786,0.0006885684826993019,0.49355146078179823
C(dt)[T.Timestamp('2021-04-22 00:00:00')],0.0006194719783502497,0.00611746049251658,0.9193417418495273
C(dt)[T.Timestamp('2021-04-23 00:00:00')],0.017965099202772096,0.00540138748870641,0.0008809698889987691
C(dt)[T.Timestamp('2021-04-26 00:00:00')],-0.0005975870983313631,0.003925211658898553,0.8789950591564097
C(dt)[T.Timestamp('2021-04-27 00:00:00')],-0.004838518839771154,0.0032901457175834453,0.14139681160679327
C(dt)[T.Timestamp('2021-04-28 00:00:00')],-0.008415824517682094,0.0038416683275343984,0.028475738808452007
C(dt)[T.Timestamp('2021-04-29 00:00:00')],0.009927148748818273,0.014112395309592775,0.48178487972195694
C(dt)[T.Timestamp('2021-04-30 00:00:00')],0.027719418046283195,0.00740387991253323,0.00018118266582792006
TreatedFlag,-0.0036855611199980744,0.0016254079149639069,0.023361625832112792
HighExposure,0.001087264526847903,0.001359986011580135,0.4240194226810471
TreatedFlag:HighExposure,0.001087264526847901,0.0013599860115801352,0.4240194226810481
Post,-0.0024662123522573164,0.0029896024306119537,0.40941140548379173
TreatedFlag:Post,0.006262597190770959,0.0026396281690735657,0.017666725287950005
HighExposure:Post,-6.107950320388819e-05,0.002086342176855895,0.9766445636286589
TreatedFlag:HighExposure:Post,-6.107950320388906e-05,0.002086342176855895,0.9766445636286586
