ticker,alpha,beta,CAR_5d,CAR_10d
JSWSTEEL.NS,0.00013538112939323792,1.1059835839579182,0.08910250169734124,0.24007452516972952
TATASTEEL.NS,0.0008635705800376763,1.2934431247635072,0.08067182174516221,0.16614055997913527
TATACONSUM.NS,-0.0008488859512299995,0.8129232190137956,0.04831955176278349,0.13153523020163677
ADANIPORTS.NS,0.002510789228059701,1.1446922981368708,-0.03302065352633482,0.129005379728897
DIVISLAB.NS,-0.001345380056782615,0.930640588268022,0.06961898101018013,0.11509433973302485
ASIANPAINT.NS,3.544628484900215e-05,0.7050337780198093,0.09410004991165792,0.11456921016257175
BRITANNIA.NS,-0.001706038089318273,0.3364194126806333,0.06755202262692123,0.1109650068389941
SHREECEM.NS,-9.184007567995006e-05,1.233642060053941,0.05912288572419669,0.10753077628546534
HINDUNILVR.NS,-0.0005748869426723708,0.30290808337111685,0.0896116997189274,0.09977483450414364
GODREJAGRO.NS,-0.0013226608684354202,0.5756243737827409,0.08513600731957237,0.0818371665872854
DRREDDY.NS,-0.0005285005968363746,0.4362743030759039,0.04800785826055394,0.07754417255164002
UPL.NS,-0.00011113539673850609,0.4505768335016721,0.014342937077982967,0.07165303779406361
GPPL.NS,-0.0004264648321377188,0.898758419538052,0.004203982638827905,0.07160606183795486
HINDALCO.NS,0.000664735071289376,1.5028773053358013,-0.021516500325699912,0.06301030221143344
ITC.NS,-0.0007553073273887556,0.8060309719828567,0.05621812259720084,0.059921879889370096
TCS.NS,0.0009425219112719778,0.6159811281610076,0.022814603533440156,0.057898979012263624
BHARTIARTL.NS,-0.0012635066311461108,0.9811067715275947,0.016875392164125223,0.05424165872947257
CIPLA.NS,-0.000341752999663725,0.5774087935477088,0.015316271113419048,0.05240646013981782
PIIND.NS,-0.0002800903778821795,0.7940815895990518,0.025543986215286012,0.04923416862653621
SUNPHARMA.NS,-0.0006133314826729619,0.9040064125761053,-0.001093804376711293,0.04922354557997226
TITAN.NS,-0.00021613331972443727,0.8134278094147082,0.04641084415777964,0.03904379359435548
NESTLEIND.NS,-0.000830774009854541,0.3822803925550524,0.03083396132884501,0.03430730893196045
HCLTECH.NS,0.0008784962926375697,0.7180280302818856,-0.0021221254824452807,0.03355750791473229
INFY.NS,0.001103706441097382,0.7641430763926588,0.0006730583975248436,0.021935853377150618
ULTRACEMCO.NS,0.0015489775498193075,1.0546569144660205,0.022531439087358145,0.019090220326431068
GRASIM.NS,0.002239978837282981,1.027791729603209,0.008623141557244515,0.015642842865469523
CONCOR.NS,0.0016650090670170378,0.724534526950244,0.05013008588526781,0.01345460752605513
MARUTI.NS,-0.0020512589112564703,0.9446186535264954,-0.006155957112846007,-0.00033685713350085347
BAJAJFINSV.NS,0.0009584340145895648,1.3621467236691696,-0.02227761799764559,-0.01035738359892676
MRPL.NS,0.0002791915394637081,0.6400939590472745,-0.02214168520663459,-0.013983852654131781
RELIANCE.NS,-0.0018415633150613636,0.7932258863818576,-0.013721291412372352,-0.01825594151866258
NTPC.NS,-0.0005885564133056373,0.7984888841747132,-0.014664796747975505,-0.01842117517290312
WIPRO.NS,0.0020009643892678376,0.7052836470575786,-0.03755207088390833,-0.01842269584261571
PETRONET.NS,-0.0009037403275175271,0.7310041984253985,-0.03973815328867691,-0.021944856465675937
BAJAJ-AUTO.NS,0.0012705676409140386,0.6133826541680326,-0.009939537630486887,-0.023640650829020754
TATAMOTORS.NS,0.00148353896751765,2.0127357498300342,-0.07478713946619996,-0.024787171042465854
BPCL.NS,-0.001168501781420152,0.9058518286160853,-0.037091099585321016,-0.02762061000425274
TECHM.NS,0.0009334887526025348,0.7630049227565302,-0.01548494368648275,-0.03724746136019519
HDFCBANK.NS,-8.020324026817675e-07,1.1779173809292438,0.022941022142717427,-0.039984714161706396
ICICIBANK.NS,0.0003746521409107195,1.690737327719361,-0.014704748441828511,-0.04223202133209365
EICHERMOT.NS,-0.0007366309022244193,0.9119346156742189,0.0021604332334792253,-0.04401848686628377
COROMANDEL.NS,2.875507610198047e-05,0.17169015332864357,0.0003322975822144976,-0.04740169080944937
IOC.NS,-0.00041578991467730066,0.997943360021386,-0.057774537966949535,-0.049151314030354935
GESHIP.NS,-0.0011434128638149277,0.6210619952804278,-0.0076155166091661265,-0.04927306883503446
M&M.NS,-1.587789798694119e-05,1.3232963955666686,-0.05260745783425583,-0.055683075778653876
BAJFINANCE.NS,0.00010244749000667363,1.5797084336507214,-0.03835807345594178,-0.06094027243452751
LT.NS,0.0015129339565987737,1.151636007904193,-0.05153221887698292,-0.06245927364131619
POWERGRID.NS,0.0008728274725729948,0.7119758104934819,-0.018134835676532877,-0.07116069991130242
KOTAKBANK.NS,0.0006458187337750228,0.976465744755329,-0.0758746397639394,-0.07571258130223736
AXISBANK.NS,0.0005704982126009966,1.5252368461015178,-0.06579168444498715,-0.07736537145634306
INDUSINDBK.NS,-7.695782623936024e-05,2.054637218638645,-0.0651556999882988,-0.07808530873137925
ONGC.NS,0.00031622710264642763,1.0727686235869798,-0.09708892214825664,-0.08258984807955244
COALINDIA.NS,-0.0011703113885466675,0.9183684460724878,-0.08169893144062518,-0.08592919431295709
SBIN.NS,0.001560347405918986,1.681421682139441,-0.06968957002266535,-0.08790793585779792
HEROMOTOCO.NS,-1.710868255166911e-05,0.6928297976180788,-0.09239419366849666,-0.11066762161816343
SCI.NS,0.0030063334120774407,0.6198281493143127,-0.11443469249089348,-0.12092072760799066
CHAMBLFERT.NS,0.0032430781844759392,0.47869134681269604,-0.09164233555904117,-0.12093866213579757
